,值
631,426.93985
632,429.042877
633,424.9295
634,428.486725
635,425.643921
636,430.310333
637,430.989746
638,436.291229
639,436.5434
640,430.111053
641,435.049927
642,433.682861
643,435.694366
644,435.024
645,439.114075
646,434.7558
647,435.476624
648,438.547852
649,441.081635
650,437.0725
651,438.25528
652,441.167725
653,438.674683
654,437.6686
655,441.729584
656,433.747345
657,437.373718
658,440.917023
659,437.024323
660,434.460632
661,432.677429
662,431.536255
663,433.799957
664,438.01358
665,435.7395
666,431.1945
667,433.410736
668,427.536072
669,429.169861
670,431.574036
671,428.582336
672,432.768066
673,427.899139
674,425.8471
675,427.363434
676,422.121826
677,426.752441
678,424.2543
679,422.536072
680,421.111084
681,419.84198
682,419.604675
683,420.415131
684,421.7419
685,423.4934
686,420.545746
687,422.7443
688,419.8323
689,419.899933
690,420.36087
691,423.686523
692,417.731964
693,421.517761
694,421.7042
695,422.066956
696,429.336182
697,427.2281
698,424.699
699,428.5822
700,426.887054
701,425.210815
702,427.162018
703,426.7039
704,429.2378
705,434.155975
706,434.6842
707,437.9648
708,433.794373
709,436.241
710,434.70697
711,435.177979
712,434.374878
713,437.2948
714,443.115936
715,434.275238
716,440.753143
717,440.074554
718,438.9042
719,441.2236
720,441.835632
721,440.875824
722,439.38678
723,441.944275
724,440.3979
725,440.7367
726,440.8191
727,438.450043
728,437.017242
729,438.299622
730,439.015869
731,442.379364
732,437.7312
733,439.337921
734,439.886383
735,437.1683
736,433.190063
737,433.9463
738,433.082458
739,436.247162
740,432.212982
741,434.581177
742,432.415283
743,429.684235
744,430.3575
745,430.5771
746,428.046021
747,427.996643
748,429.516663
749,426.136536
750,423.7708
751,427.2799
752,428.696228
753,424.832062
754,423.8864
755,424.208771
756,424.058838
757,423.038849
758,423.467255
759,420.50882
760,423.25238
761,422.9406
762,419.389771
763,418.977264
764,417.4227
765,418.9822
766,417.745544
767,421.898
768,421.677155
769,423.124634
770,419.400635
771,423.060272
772,421.4613
773,418.799225
774,421.3927
775,422.8661
776,424.109772
777,426.979279
778,423.987732
779,426.0915
780,423.208282
781,422.242767
782,428.2046
783,434.6884
784,428.924866
785,435.479584
786,430.62204
787,430.266357
788,431.835144
789,437.487274
790,435.8163
791,431.509857
792,434.877747
793,435.973663
794,436.3253
795,438.0742
796,433.614227
797,436.574646
798,438.913574
799,436.453827
800,435.18985
801,435.822418
802,439.066559
803,439.717163
804,438.014282
805,436.2017
806,435.877563
807,434.568665
808,435.750641
809,439.296234
810,434.87207
811,435.84668
812,438.3042
813,437.988983
814,431.7672
815,434.0501
816,429.044281
817,434.202057
818,433.7961
819,430.7492
820,430.642151
821,432.7092
822,428.707336
823,430.175934
824,427.952759
825,428.003
826,428.181519
827,424.886383
828,425.075134
829,426.556274
830,422.536133
831,422.266876
832,423.4759
833,423.949768
834,424.38205
835,428.217224
836,427.896179
837,421.9082
838,426.7828
839,425.226379
840,424.693665
841,431.433228
842,429.184875
843,424.3644
844,425.5102
845,431.029358
846,432.3557
847,430.523865
848,428.375122
849,431.41156
850,434.697937
851,433.844879
852,433.628632
853,438.188751
854,430.194
855,435.068024
856,440.30426
857,433.949524
858,438.2957
859,438.394531
860,432.164673
861,436.111176
862,436.222473
863,436.541565
864,435.602051
865,434.81665
866,433.359283
867,432.096863
868,433.832184
869,435.3643
870,434.788483
871,433.3366
872,429.9981
873,435.830444
874,432.842
875,427.629425
876,430.564178
877,428.291626
878,427.969879
879,432.5063
880,430.673462
881,428.272552
882,429.447
883,425.995667
884,425.415375
885,427.885834
886,433.661133
887,431.318817
888,428.1604
889,431.570831
890,428.863922
891,432.769836
892,430.483429
893,431.365753
894,430.926056
895,427.7326
896,426.9458
897,429.3976
898,430.621948
899,432.447266
900,427.520874
901,427.9703
902,433.838379
903,425.784576
904,429.3172
905,428.2137
906,430.63974
907,429.9956
908,433.552979
909,426.648529
910,423.4008
911,424.22818
912,430.8199
913,435.59552
914,427.136475
915,431.325134
916,430.6149
917,432.5517
918,433.2807
919,434.910767
920,427.746277
921,430.5693
922,432.630646
923,429.214874
924,431.695953
925,428.088654
926,426.1991
927,422.422638
928,424.0186
929,430.319275
930,427.8159
931,429.226074
932,424.363922
933,424.726074
934,429.448425
935,421.482147
936,424.2993
937,423.9759
938,423.3504
939,426.5711
940,426.526276
941,427.564026
942,424.846619
943,423.58316
944,423.692474
945,428.948242
946,422.723572
947,422.497864
948,425.1626
949,429.904816
950,430.70285
951,426.357117
952,431.050232
953,429.453674
954,430.988678
955,430.1203
956,432.215576
957,432.0271
958,437.586456
959,435.420074
960,431.410217
961,431.5244
962,439.40863
963,435.6673
964,440.419525
965,434.782623
966,433.3139
967,436.467438
968,438.1188
969,440.920532
970,437.7404
971,439.357544
972,437.383148
973,439.5163
974,436.804779
975,437.817963
976,438.10434
977,436.501678
978,434.271118
979,433.754517
980,435.18573
981,435.940765
982,435.108215
983,434.724121
984,432.376221
985,429.697327
986,431.643616
987,429.434937
988,428.1371
989,422.9147
990,427.460083
991,430.254456
992,430.19043
993,424.901337
994,427.9157
995,422.31308
996,424.852325
997,419.755737
998,423.0528
999,419.958221
1000,421.402649
1001,418.845123
1002,424.453674
1003,424.297
1004,416.76236
1005,418.286133
1006,416.746674
1007,418.99353
1008,420.7447
1009,423.059174
1010,423.9578
1011,430.516235
1012,423.132324
1013,423.2721
1014,424.009552
1015,424.012756
1016,426.305878
1017,420.071777
1018,424.791168
1019,432.1905
1020,434.7407
1021,430.9839
1022,428.374
1023,429.6717
1024,430.219269
1025,436.426056
1026,433.2793
1027,432.7788
1028,437.583771
1029,435.1159
1030,437.167328
1031,436.730377
1032,440.435577
1033,439.580444
1034,437.43
1035,442.114136
1036,442.0979
1037,439.381653
1038,436.452057
1039,437.5174
1040,439.581848
1041,442.6391
1042,442.418335
1043,441.945
1044,442.344666
1045,439.5876
1046,440.075867
1047,442.351532
1048,442.0588
1049,438.6803
1050,439.7713
1051,439.417267
1052,438.635223
1053,439.977173
1054,441.830841
1055,435.4497
1056,434.336548
1057,433.925934
1058,436.057373
1059,429.501221
1060,429.543671
1061,427.935638
1062,429.487122
1063,429.0373
1064,425.518524
1065,426.351654
1066,425.8766
1067,431.7675
1068,426.2582
1069,420.523621
1070,421.037933
1071,421.730835
1072,426.3254
1073,420.25705
1074,423.16507
1075,419.9812
1076,422.302429
1077,419.457642
1078,418.73172
1079,423.846741
1080,419.3824
1081,417.421875
1082,416.7036
1083,416.0767
1084,421.55896
1085,419.287964
1086,419.01474
1087,416.0947
1088,423.837616
1089,420.134216
1090,419.3442
1091,422.024048
1092,418.680023
1093,425.379181
1094,426.562164
1095,426.075439
1096,427.144958
1097,426.98233
1098,423.20636
1099,428.9378
1100,425.191345
1101,433.461273
1102,429.3727
1103,428.891968
1104,433.0083
1105,435.751343
1106,431.683777
1107,431.159576
1108,436.413269
1109,440.285645
1110,433.8489
1111,439.634338
1112,438.637817
1113,437.8631
1114,442.735077
1115,441.369354
1116,438.205475
1117,440.5619
1118,439.996857
1119,438.374878
1120,439.6667
1121,444.2004
1122,437.173157
1123,442.62915
1124,440.56134
1125,438.44162
1126,440.8127
1127,435.55426
1128,437.077026
1129,438.784
1130,436.773346
1131,433.020752
1132,429.942932
1133,433.955261
1134,433.0412
1135,429.55307
1136,427.412018
1137,431.572937
1138,424.812042
1139,428.464966
1140,435.384918
1141,429.955
1142,426.760284
1143,429.834167
1144,430.63916
1145,423.660431
1146,424.242554
1147,425.896362
1148,423.501221
1149,418.817078
1150,425.095642
1151,424.7405
1152,421.011383
1153,423.4078
1154,416.597656
1155,418.619415
1156,421.6821
1157,423.1182
1158,420.128052
1159,418.872253
1160,419.7747
1161,424.757263
1162,420.943573
1163,423.8201
1164,418.035431
1165,420.3529
1166,425.078552
1167,427.929352
1168,424.287537
1169,423.874146
1170,428.334229
1171,430.101868
1172,427.285522
1173,430.052032
1174,429.207153
1175,425.570953
1176,428.524872
1177,432.9616
1178,431.181519
1179,435.576721
1180,435.709259
1181,432.479553
1182,430.6424
1183,434.3649
1184,440.765137
1185,436.0091
1186,435.262421
1187,441.690857
1188,437.067261
1189,439.9002
1190,438.6539
1191,438.981842
1192,439.917175
1193,435.736481
1194,440.6009
1195,438.9376
1196,437.567627
1197,438.1147
1198,434.3611
1199,435.316254
1200,435.778656
1201,431.2397
1202,433.483429
1203,434.20166
1204,431.751953
1205,436.418335
1206,430.3403
1207,424.7531
1208,428.115936
1209,424.6554
1210,426.1981
1211,428.652679
1212,427.768433
1213,424.1912
1214,422.3296
1215,425.600616
1216,424.8047
1217,424.5485
1218,424.479736
1219,427.882538
1220,428.2827
1221,429.991882
1222,425.798279
1223,430.251
1224,431.893524
1225,425.841125
1226,422.1728
1227,423.7689
1228,429.0303
1229,425.859039
1230,430.852417
1231,427.242981
1232,432.484039
1233,428.9732
1234,425.829865
1235,428.57
1236,428.580261
1237,430.9987
1238,427.255249
1239,426.226349
1240,432.248627
1241,429.5697
1242,428.054749
1243,423.849854
1244,429.413
1245,430.894836
1246,430.712921
1247,430.6768
1248,432.224457
1249,430.499237
1250,431.157257
1251,433.2266
1252,428.620148
1253,433.59314
1254,432.2744
1255,429.240356
1256,431.413147
1257,430.9042
1258,436.5293
1259,428.487183
1260,432.524475
1261,430.81604
1262,429.979034
1263,430.492737
1264,429.356323
1265,429.850769
1266,428.479
1267,429.68158
1268,426.635773
1269,432.166229
1270,430.77774
1271,430.011261
1272,430.154266
1273,434.8952
1274,429.610321
1275,428.639954
1276,428.624146
1277,430.920715
1278,430.0322
1279,431.2641
1280,428.496674
1281,430.576782
1282,429.628754
1283,432.305664
1284,433.5917
1285,430.415558
1286,435.181549
1287,428.281525
1288,431.656921
1289,432.409821
1290,429.53714
1291,432.7803
1292,433.56366
1293,429.526428
1294,431.13855
1295,430.741455
1296,430.66925
1297,431.2149
1298,426.373535
1299,429.9276
1300,427.532166
1301,425.860474
1302,426.308655
1303,430.487671
1304,425.458466
1305,426.8475
1306,426.235535
1307,423.363647
1308,425.016724
1309,426.8286
1310,424.934082
1311,427.590363
1312,426.1836
1313,425.936157
1314,428.895264
1315,423.995667
1316,426.640228
1317,425.937378
1318,423.756439
1319,428.357758
1320,428.492828
1321,428.5301
1322,424.174377
1323,427.3946
1324,432.0044
